GAME_DATE,DAY_OF_WEEK,DATE_KEY,MONTH,YEAR
2023-10-10,Tuesday,20231010,10,2023
2023-10-13,Friday,20231013,10,2023
2023-10-15,Sunday,20231015,10,2023
2023-10-18,Wednesday,20231018,10,2023
2023-10-20,Friday,20231020,10,2023
2023-10-25,Wednesday,20231025,10,2023
2023-10-27,Friday,20231027,10,2023
2023-10-28,Saturday,20231028,10,2023
2023-10-30,Monday,20231030,10,2023
2023-11-01,Wednesday,20231101,11,2023
2023-11-03,Friday,20231103,11,2023
2023-11-06,Monday,20231106,11,2023
2023-11-08,Wednesday,20231108,11,2023
2023-11-11,Saturday,20231111,11,2023
2023-11-12,Sunday,20231112,11,2023
2023-11-14,Tuesday,20231114,11,2023
2023-11-16,Thursday,20231116,11,2023
2023-11-18,Saturday,20231118,11,2023
2023-11-20,Monday,20231120,11,2023
2023-11-22,Wednesday,20231122,11,2023
2023-11-24,Friday,20231124,11,2023
2023-11-25,Saturday,20231125,11,2023
2023-11-28,Tuesday,20231128,11,2023
2023-11-30,Thursday,20231130,11,2023
2023-12-02,Saturday,20231202,12,2023
2023-12-06,Wednesday,20231206,12,2023
2023-12-08,Friday,20231208,12,2023
2023-12-11,Monday,20231211,12,2023
2023-12-13,Wednesday,20231213,12,2023
2023-12-14,Thursday,20231214,12,2023
2023-12-16,Saturday,20231216,12,2023
2023-12-18,Monday,20231218,12,2023
2023-12-20,Wednesday,20231220,12,2023
2023-12-22,Friday,20231222,12,2023
2023-12-25,Monday,20231225,12,2023
2023-12-28,Thursday,20231228,12,2023
2023-12-30,Saturday,20231230,12,2023
2024-01-01,Monday,20240101,1,2024
2024-01-03,Wednesday,20240103,1,2024
2024-01-05,Friday,20240105,1,2024
2024-01-08,Monday,20240108,1,2024
2024-01-10,Wednesday,20240110,1,2024
2024-01-12,Friday,20240112,1,2024
2024-01-14,Sunday,20240114,1,2024
2024-01-15,Monday,20240115,1,2024
2024-01-17,Wednesday,20240117,1,2024
2024-01-19,Friday,20240119,1,2024
2024-01-21,Sunday,20240121,1,2024
2024-01-24,Wednesday,20240124,1,2024
2024-01-25,Thursday,20240125,1,2024
2024-01-27,Saturday,20240127,1,2024
2024-01-29,Monday,20240129,1,2024
2024-01-31,Wednesday,20240131,1,2024
2024-02-02,Friday,20240202,2,2024
2024-02-04,Sunday,20240204,2,2024
2024-02-06,Tuesday,20240206,2,2024
2024-02-07,Wednesday,20240207,2,2024
2024-02-11,Sunday,20240211,2,2024
2024-02-13,Tuesday,20240213,2,2024
2024-02-14,Wednesday,20240214,2,2024
2024-02-23,Friday,20240223,2,2024
2024-02-26,Monday,20240226,2,2024
2024-02-27,Tuesday,20240227,2,2024
2024-02-29,Thursday,20240229,2,2024
2024-03-02,Saturday,20240302,3,2024
2024-03-05,Tuesday,20240305,3,2024
2024-03-07,Thursday,20240307,3,2024
2024-03-08,Friday,20240308,3,2024
2024-03-10,Sunday,20240310,3,2024
2024-03-13,Wednesday,20240313,3,2024
2024-03-15,Friday,20240315,3,2024
2024-03-17,Sunday,20240317,3,2024
2024-03-18,Monday,20240318,3,2024
2024-03-20,Wednesday,20240320,3,2024
2024-03-22,Friday,20240322,3,2024
2024-03-24,Sunday,20240324,3,2024
2024-03-26,Tuesday,20240326,3,2024
2024-03-29,Friday,20240329,3,2024
2024-03-31,Sunday,20240331,3,2024
2024-04-02,Tuesday,20240402,4,2024
2024-04-04,Thursday,20240404,4,2024
2024-04-05,Friday,20240405,4,2024
2024-04-07,Sunday,20240407,4,2024
2024-04-09,Tuesday,20240409,4,2024
2024-04-10,Wednesday,20240410,4,2024
2024-04-12,Friday,20240412,4,2024
2024-04-14,Sunday,20240414,4,2024
2024-04-17,Wednesday,20240417,4,2024
2024-04-19,Friday,20240419,4,2024
2024-04-21,Sunday,20240421,4,2024
2024-04-24,Wednesday,20240424,4,2024
2024-04-27,Saturday,20240427,4,2024
2024-04-29,Monday,20240429,4,2024
2024-05-01,Wednesday,20240501,5,2024
